day,header_negative,header_positive,answer_positive,answer_rehearsal,answer_mentaldiet,answer_trigger,answer_counter1,answer_counter2,answer_counter3,answer_umbrella
1,Don't stop now – there's more in you!,Amazing work – you’re a true star!,That was flawless. Keep making every moment count!,Keep making positive choices in your thinking.,Begin to break up your old thinking patterns.,Don’t let your triggers derail you.,Counter 1/1,Counter2/1,Counter 3/1,Counter 4/1
2,Push further – your best is yet to come.,Impressive – you shine so brightly!,Spot on! Keep up the fantastic work … your work matter.,Continue selecting thoughts that serve you well.,Start catching yourself when old thoughts arise.,Stop letting triggers knock you off balance.,Counter 1/2,Counter2/2,Counter 3/2,Counter 4/2
3,Keep pushing – you have more to give.,Outstanding – you’re a total rockstar!,"Absolutely perfect! Keep going strong, every thought is valuable.",Keep leaning into the right mindset.,Interrupt familiar mental habits.,Don’t allow triggers to throw you off course.,Counter 1/3,Counter2/3,Counter 3/3,Counter 4/3
4,Keep striving – improvement is within your grasp.,Incredible – you’re a legend!,"Perfect execution! Another great day, keep those positive thoughts coming.",Keep steering your mind toward constructive ideas.,Step in when repetitive thoughts appear.,Don’t let triggers shake your composure.,Counter 1/5,Counter2/5,Counter 3/5,Counter 4/5
5,Move forward – your next level awaits.,Stellar job – you’re on fire!,"You nailed it! Keep it up, every contribution is important.",Choose empowering thoughts more frequently.,Pause and question old beliefs.,Stop letting triggers control your reactions.,Counter 1/6,Counter2/6,Counter 3/6,Counter 4/6
6,Keep pressing on – you can achieve more.,Marvelous – you’re absolutely crushing it!,"Outstanding work! Keep pushing, every positive insight adds value.",Keep opting for thoughts that lead you forward.,Disrupt your default mindset.,Don’t let triggers sidetrack your progress.,Counter 1/7,Counter2/7,Counter 3/7,Counter 4/7
7,Don’t settle – you can surpass this.,Phenomenal – you’re a powerhouse!,"That was right on the mark. Keep up the momentum, every idea counts.",Continue to focus on the thoughts that benefit you.,Shake up your standard thoughts.,Keep triggers from throwing you off track.,Counter 1/8,Counter2/8,Counter 3/8,Counter 4/8
8,Keep advancing – you’re capable of greater.,Spectacular – you’re in a league of your own!,Impeccable! Keep having great days; your postive thoughts matter.,Make the right thoughts your regular choice.,Notice and change outdated ideas.,Don’t let your triggers set you back.,Counter 1/9,Counter2/9,Counter 3/9,Counter 4/9
9,Keep climbing – your potential is higher.,Brilliant – you’re a showstopper!,"Perfection! Keep striving, every opinion is meaningful.",Keep guiding your mind toward positivity.,Put a stop to automatic thought loops.,Resist letting triggers unsettle you.,Counter 1/10,Counter2/10,Counter 3/10,Counter 4/10
10,Stay motivated – your best effort is ahead.,Exceptional – you’re a natural-born star!,"Exactly right! Keep up the great energy, every bit counts.",Keep prioritizing helpful thoughts every day.,Redirect your mind from old tracks.,Don’t allow triggers to dictate your mood.,Counter 1/11,Counter2/11,Counter 3/11,Counter 4/11
11,Keep working – excellence is possible.,Superb – you’re a dynamo!,"That was just right! Keep the positivity flowing, every positive thought matters.",Let your mind gravitate towards the best ideas.,Replace past thinking with something new.,Stop letting triggers take you off your path.,Counter 1/12,Counter2/12,Counter 3/12,Counter 4/12
12,Don’t give up – you can outdo yourself.,Tremendous – you’re an all-star!,"Perfectly done! Keep up the good vibes, every input is important.",Consistently choose thoughts that inspire progress.,Step out of your habitual thought process.,Don’t let triggers interrupt your peace.,Counter 1/13,Counter2/13,Counter 3/13,Counter 4/13
13,Keep growing – there’s more to accomplish.,First-rate – you rock the stage!,"You did it perfectly! More of this, every positive thought is a step forward.",Make a habit of choosing uplifting perspectives.,Break the cycle of old thoughts.,Prevent triggers from getting the best of you.,Counter 1/14,Counter2/14,Counter 3/14,Counter 4/14
14,Stay focused – you can improve even more.,You’re unstoppable – a real rockstar!,"Fantastic! Keep up the pace, every perspective counts.",Keep embracing thoughts that bring out your best.,Bring awareness to recurring beliefs.,Don’t let your triggers gain control.,Counter 1/15,Counter2/15,Counter 3/15,Counter 4/15
15,Press on – your abilities go further.,You nailed it – total superstar!,"That was excellent! Keep moving ahead, every positive thought is valuable.",Select the right mindset more often.,Shift your focus when old patterns show up.,Stop letting triggers rattle your confidence.,Counter 1/16,Counter2/16,Counter 3/16,Counter 4/16
16,Keep challenging yourself – you can excel.,You’re incredible – keep shining!,"Flawlessly don! Keep enjoying great days, every idea matters.",Keep nurturing your mind with positive choices.,Catch yourself drifting to old ideas.,Don’t allow triggers to steer your day.,Counter 1/17,Counter2/17,Counter 3/17,Counter 4/17
